Input,Output
"""- -4 -2 8""",-10
"""+ -1""",-1
"""- 0""",0
"""* -9 -8 2 9 -3 -5 0 4 -6""",0
"""* -1 2 4 -2 5 8 -1 -4 3""",7680
"""- 0""",0
"""/ -7 -9 8 -6 9 -4 -2""",-0.0
"""/ 5 -9 4 -6 4 -8""",-0.0
"""/ -9""",-9
"""/ -9""",-9
"""* 5""",5
"""/ -4 5""",-0.8
"""* 5 1 0""",0
"""+ -8 -5 8 -5 -6 9 -9 1""",-15
"""/ 0 -2 -6 -8 -6 6 6 9 3""",0.0
"""* 1 9 3 -2 -2 4 -2 -2""",1728
"""+ 0 -9 -1 0""",-10
"""/ -6 9 -5 7 3""",0.01
"""+ 0 -4 5 8 3 -5""",7
"""/ -8 -1""",8.0
"""+ -6 9 5 -2 -5""",1
"""+ -9 3""",-6
"""/ -4 -6 6 1 2""",0.06
"""+ -7 0 1 8 -4 2""",0
"""/ -6""",-6
"""/ 7 -2 -4 8 6 -3 7""",-0.0
"""/ 9 -4""",-2.25
"""+ 8 1 -6 -6 -8 -1""",-12
"""- 7 -7 4 -8 8 -1 -2""",13
"""/ 5 5""",1.0
"""+ 4 2 -7 3 7""",9
"""/ -4 9 6 8 9 9""",-0.0
"""/ -6 -2 -1 5""",-0.6
"""* 9 6 2 -3 0 8 7 1 7""",0
"""- -5 -5 2 -8 -4 -6""",16
"""* -8 5 -3 -4 8 9 -5 -1""",-172800
"""* -7""",-7
"""/ -1 2 4""",-0.12
"""- 2 -5 -4 1 -3 2 8 -8""",11
"""* 6 8""",48
"""+ 1 -2 -7 -4""",-12
"""- -2""",-2
"""+ -1 -5 -9""",-15
"""+ 5 1""",6
"""+ 9""",9
"""- 0 -2 1 2 -6""",5
"""- -2 0 1 0 -6 1 8""",-6
"""+ 3 -9 2 7 -8 -8 0 -1""",-14
"""/ -7 7""",-1.0
"""+ -4 5""",1
"""* 6 -6 5 9 -2 1 -3 5""",-48600
"""* 4""",4
"""* 0 -8 4 8""",0
"""+ 2 -9 3 5 -4 -7""",-10
"""+ -6 -3 8 0 -8 9 -8 9 -9""",-8
"""* -5 -8 8 -8 0""",0
"""+ -7 9 3 6 9 8 5""",33
"""/ 7 0""",null
"""- -1 -7 -8 -3 -1""",18
"""- -9 2 9""",-20
"""+ 9 -2 4 9 9 6""",35
"""* 9""",9
"""+ 8 -7""",1
"""* -7 6 4 7 -6""",7056
"""+ -6""",-6
"""- -8 -6 -5 -3 6 -9""",9
"""+ 1 -5 1 -3 -3 8 -6 6 -8""",-9
"""* -8 -3 5 -7 -3 3""",7560
"""/ 3 -2 5 -1 9 8 9 -3 5""",-0.0
"""+ -5""",-5
"""+ -8 -9 6 -7 6 2 -5 8 4""",-3
"""* -9 8""",-72
"""/ -5 -7 9 7 9 6 8 -9 -3""",0.0
"""* -7 -6 -9 -6 9 9""",183708
"""/ -5 -8""",0.62
"""+ 3 1 2 -7 7 6 7 -4""",15
"""* -4""",-4
"""* -9 6 6 -7 5 -7 2 -3""",476280
"""- 5 -4 5 3 -3 7 6""",-9
"""+ -8 0 -4 -7""",-19
"""- -4 6 9 6 0 -3""",-22
"""* 1 6 7""",42
"""* -3 -6 9 7 9 -2 -3 6 2""",734832
"""* 6 -3 -9 4 2 4 -8 3 3""",-373248
"""+ 9 2 1""",12
"""+ -4 4 9""",9
"""+ -9 -5 1 -9""",-22
"""* 2""",2
"""/ 3 5""",0.6
"""- 8 9 8 3 5""",-17
"""* -6 -8 -4 -7 5 6""",40320
"""* -8 7 4""",-224
"""- 3 2""",1
"""- 0""",0
"""/ -7 4 1 -8 0 3 7""",null
"""* -4 0 -3 -8 7 -1""",0
"""/ -3 1 -4 -1 -1 -1 0 0""",null
"""* 1 6""",6
"""/ 4 3""",1.33
"""/ 9 8 -6 -6 9 -4 -6 -1""",-0.0
"""/ 0""",0
"""* -4""",-4
"""/ 8 5""",1.6
"""* -6 -8 1 8 4 -2 3""",-9216
"""/ 7 -1 -2 -2 2 5""",-0.17
"""/ 4 -2 6 -6 -4 7""",-0.0
"""* -6 -9 -7 -9 -2""",-6804
"""* 9 -5 2 6 9""",-4860
"""- 5 2 -2 -3 2""",6
"""- -9 9 -1""",-17
"""/ -8 -3 8""",0.33
"""+ 1 3 -9""",-5
"""+ -4""",-4
"""/ 3 -3 -6 8 -2 -1 2""",0.01
"""- -4 -9""",5
"""/ 2 8 -2 6 4 -6""",0.0
"""* 6 -6 -7 -3 -2""",1512
"""+ -3 9 -5 4 7""",12
"""- 4 -9 -2""",15
"""* 8 1 -3 -8 -5 -5 -1 -3 -4""",-57600
"""+ 5 -2 -2""",1
"""/ 0 -4 -5 -3 -6 4 -9""",-0.0
"""/ -1 -1 -4 6 7 0 6 7""",null
"""- 8 -3 -1 9 2 -5 1""",5
"""+ 7 9 -7""",9
"""- 7 7 -9 -5 2 -3 -3 9""",9
"""* 1 -3""",-3
"""* 4 -3 5 -4 -9 -5 7 -1 -7""",529200
"""* -9 5 0 -6 -1 2 2""",0
"""+ 3 3 2 -1""",7
"""- -2 -7 -8 1 1 0 7 5 6""",-7
"""+ -3 -5 9 3 3""",7
"""/ 2 0 2 -9 -5 -1""",null
"""+ -2 1 -5 6 -8 -4 0 3 -4""",-13
"""- -4 3 6 9 -5 -2 6""",-21
"""+ 5 2 4 0 8 -9 -7 3 5""",11
"""/ 0 0 -1 9 -9 0 9 -3 3""",null
"""+ -5 8 0 -3 7 -5""",2
"""+ 6 4 8 -7 -4 -3 2 3""",9
"""+ 5 -5 6 -4 9 5 -7 -5 -1""",3
"""* 5 -2 3""",-30
"""+ 5 7 -7 1 3 -3 -5 9""",10
"""* 7 -2 0 4 -9""",0
"""- -5""",-5
"""+ 2 4 -9""",-3
"""- 4""",4
"""* -9 -5 -9""",-405
"""* 4 -1 -9 -9 -5 6""",9720
"""/ -4 2 6 5 2 -5""",0.01
"""+ -5 3""",-2
"""/ -4 -5 3 -6""",-0.04
"""/ 3 6""",0.5
"""/ 1 -8 -4 4 -7 3 -9 8""",0.0
"""* 4 -5 -2 -6 -7 -3 -5 -7 -8""",1411200
"""* 2 -1 8""",-16
"""- 0 3 -8 3 -9 5 -8 6 -4""",12
"""/ 6 9 6 -6""",-0.02
"""+ -9""",-9
"""+ -1 -8 2 -8 7 -9""",-17
"""/ -6 7""",-0.86
"""* -4 5 7 -9 -9 8 -2""",181440
"""+ -1 8 -8""",-1
"""* 2""",2
"""* -6 0 -3""",0
"""* -8 0 4 -6 -5 -2""",0
"""* 6 -5 3 8 2 9""",-12960
"""* -5 -1 8 -3 5""",-600
"""+ 1 8 0 2 -7""",4
"""* -3""",-3
"""- 9 -3 7 -3 2 9 -7 -7""",11
"""/ -9 2 -5""",0.9
"""/ 0 -7 -8 -1 9""",-0.0
"""+ 7 -1 -8 -1 8 -8 7 5""",9
"""- -6 -1 -2 -1 -7 0 -7""",12
"""* -9 -6 0 -3""",0
"""* 1 -2 -4 4 -6 8 0""",0
"""- 8 3 -5 -8""",18
"""+ -9 1 -3 -1 -5 9 1""",-7
"""/ -3 -3 7 -9""",-0.02
"""- 5 -7""",12
"""+ -6 -7 -9 -3 1""",-24
"""/ -1 -1 5 7 -9 -4 -4 2""",-0.0
"""* -5 9 -7""",315
"""+ 4 2 -4 -8 -5 -4 -1 -4 6""",-14
"""- -4 -5 7 6""",-12
"""+ -5 3 4 -3 -4""",-5
"""* -6 3 9 -9 -3 6 4 2""",-209952
"""- -6 -7 7 -5 -6 2 -5""",8
"""/ 2 3 1 3""",0.22
"""/ -8 9 5 -4 -1 6""",-0.01
"""* 5 2 -4 -6 2 5 7""",16800
"""+ 2 -5 8 -3 -1 9 8 4 -3""",19
"""/ 4 2 -3 -3 8 -3 -4 5""",0.0
"""* 3 -8 -4""",96
"""/ 8 9 6 6 -4 8 -9""",0.0
"""- 5 1 -7 1 -2 7 -5""",10
"""/ -9 -8 0 9 -1 7 0""",null
"""* 3 -6 -5 9""",810
"""* 1 -2 -7 -2""",-28
"""/ 4 7 -7 -4 4 -2 1 7""",-0.0
"""- -6 -4 5""",-7
"""/ 6 5 -4""",-0.3
"""- 7 -1 -1 -5 0 -2 2""",14
"""+ 1 9 -3""",7
"""* 6 -8 -1 1 -1 6 9 -7 -9""",-163296
"""+ -4 -1 6 7 2""",10
"""* 0 -5""",0
"""- -1 2""",-3
"""/ -5 -4 1""",1.25
"""- -8 0 -7 3 -3 9 -2 0""",-8
"""+ -4 -3 -1 -7 -8 -6 -9""",-38
"""* 0 -2 2 -2 -8 5 -4""",0
"""- 6""",6
"""- 8 6 -8 -4 7 8 8 -9""",0
"""* 4 -5""",-20
"""- 4 9 -4 -8 -8 7 -6""",14
"""/ 3 2""",1.5
"""- 7 3 -3 7 3""",-3
"""+ 5 -7 -5 9 6 -2""",6
"""/ 8 5 -5 0""",null
"""- 0 -8""",8
"""/ 7 8 -7 3 -2 3 7 -8""",-0.0
"""- 0 2 -8 4 4 -7 8 -9 1""",5
"""/ -9 -7 -3""",-0.43
"""- -3 4""",-7
"""+ 3""",3
"""* 1 -4 7 0 -1 -4 -6""",0
"""/ 7 4 -4 -6 -7 0 3 7 7""",null
"""* 9 1 -2 -6 9""",972
"""/ 7 5 -9 -9 7 7 -1""",-0.0
"""* 3 -7 2 0""",0
"""/ 4 -7 5 -1 -8""",-0.01
"""+ -1 -5 -4 4 -5 4""",-7
"""- -3 1 8 1 6 8 9 -7""",-29
"""/ -7 3""",-2.33
"""* -8 -4 0 -7 -1 6 -4 8""",0
"""* 8 -3 -8""",192
"""/ -1 0 3 6 -6 1 -7 7""",null
"""* 6 6 6 -2""",-432
"""* 2 -4 3 -6 -9 -7 -6""",-54432
"""- 0 9 7 9 -9 7""",-23
"""/ 0""",0
"""+ -3 -4""",-7
"""- -9 2 1 1 9 2""",-24
"""* 9 -4 5 3""",-540
"""/ 2 6 1 -8 -3 6 5""",0.0
"""* 2 -2 9 6 -5""",1080
"""/ 1 -5 -6""",0.03
"""* -7 6 6 -2 -6""",-3024
"""- 6 4 7""",-5
"""- 8 -8 4""",12
"""- -5 -7 0 -4 -1 8 1 1 5""",-8
"""/ -9 4 7 2 -9 -4 7""",-0.0
"""* -6 -6 -5 7""",-1260
"""/ 9 -8 2 6""",-0.09
"""/ 5 5 -5 6 -5 -1 -5""",0.0
"""+ -6 2 7""",3
"""- 6 9 8 4 0 4 4 -1""",-22
"""* 7 9 8 3""",1512
"""/ -3 6 -4 9 -3 -5 5 3""",0.0
"""* 5""",5
"""+ -7 2 -1 1 9 6 8 7""",25
"""+ -5 -4 5""",-4
"""- -9""",-9
"""* 1 -9 0 -6 3 -6""",0
"""* 8 -1 9 -6 -6 -4 2 -9 -6""",1119744
"""- -7 -6""",-1
"""- 9 0""",9
"""/ 6""",6
"""* -1 -2 1 6 -6 8 5""",-2880
"""/ -2 -4 8 0 5 3 -3""",null
"""/ -9 5 -4""",0.45
"""+ -2 9 -1""",6
"""/ -7""",-7
"""/ -3 2 6 2""",-0.12
"""+ -7 -2 1 -3 0 0 4 4""",-3
"""- 4 -3 5 0 -4 4 6 7 0""",-11
"""+ 9 -8""",1
"""+ -3 -1 0 -4 -4 1 -6 1 5""",-11
"""+ -6 -7 9 0 8 1 9""",14
"""- 6 2 -7 4 4""",3
"""- 7""",7
"""* -8 3 8 -9 -7 -4 7 -5""",-1693440
"""* -9 -6""",54
"""+ 3 2 -6 7 -8 3 5""",6
"""/ 3 5 9 0 -5 -7 1 4 2""",null
"""+ 1 2 6 -5 3 -2 -1 -1 -9""",-6
"""/ 7 -4 4 -7""",0.06
"""* 9 7 9 1 8 0 3""",0
"""/ -3 5 -7 8 -8 6 -4 -1""",-0.0
